echange_rate_dt,usd2usd,usd2eu,usd2can,usd2uk,usd2inr,usd2jp
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.091,1.3551,0.8085,82.2064,133.177
1/31/2020,1,1.0926,1.354,0.8099,82.0848,132.6658
1/31/2020,1,1.0876,1.3588,0.8112,82.3255,132.3684
1/31/2020,1,1.0899,1.3655,0.8112,82.1548,130.6983
1/31/2020,1,1.0909,1.3709,0.8152,82.305,131.4768
1/31/2020,1,1.0882,1.3789,0.8184,82.4244,130.1536
1/31/2020,1,1.0913,1.3673,0.8137,82.2511,131.3264
1/31/2020,1,1.0828,1.3706,0.8153,82.5962,132.7121
1/31/2020,1,1.0808,1.3666,0.8169,82.6195,132.3589
1/31/2020,1,1.0795,1.3688,0.817,82.5697,131.3521
1/31/2020,1,1.0776,1.3729,0.8236,82.6386,132.3261
1/31/2020,1,1.0789,1.3747,0.8289,82.803,132.3077
1/31/2020,1,1.0845,1.3749,0.827,82.7685,132.2495
1/31/2020,1,1.0974,1.3681,0.8201,82.361,134.1995
1/31/2020,1,1.0981,1.3773,0.8254,82.2399,132.5985
1/31/2020,1,1.0776,1.3832,0.8337,82.125,136.69
1/31/2020,1,1.0649,1.3809,0.8415,82.0746,136.2706
1/31/2020,1,1.0618,1.375,0.8447,81.9545,137.2214
1/31/2020,1,1.0709,1.3645,0.8342,81.8214,136.1556
1/31/2020,1,1.0703,1.3614,0.8325,81.8566,135.8632
1/31/2020,1,1.066,1.3601,0.834,81.8827,136.1752
1/31/2020,1,1.0618,1.3624,0.8372,82.5427,136.794
1/31/2020,1,1.0687,1.3601,0.829,82.4455,135.5485
1/31/2020,1,1.0676,1.3571,0.8259,82.6071,136.7643
1/31/2020,1,1.0629,1.3582,0.8345,82.7516,136.3275
1/31/2020,1,1.0679,1.3599,0.8349,82.7668,135.8089
1/31/2020,1,1.0732,1.3532,0.8303,82.5824,135.0038
1/31/2020,1,1.0784,1.3536,0.8262,82.8993,134.5735
1/31/2020,1,1.0823,1.3457,0.8245,82.7865,134.8087
1/31/2020,1,1.0824,1.346,0.8313,82.73,134.0547
1/31/2020,1,1.0737,1.3521,0.8366,82.8433,134.7576
1/31/2020,1,1.0838,1.3396,0.8307,82.6705,133.9346
